# RPCMP self-authored MDX FM probe trace v1
# tick_rate=48000 end_tick=2752 writes=33 digest=326b24326bc7b40f
at_tick,address,value
0,0x12,0xc8
0,0x1b,0x02
0,0x40,0x00
0,0x48,0x00
0,0x50,0x00
0,0x58,0x00
0,0x60,0x00
0,0x68,0x00
0,0x70,0x00
0,0x78,0x7f
0,0x80,0x00
0,0x88,0x00
0,0x90,0x00
0,0x98,0x00
0,0xa0,0x00
0,0xa8,0x00
0,0xb0,0x00
0,0xb8,0x00
0,0xc0,0x00
0,0xc8,0x00
0,0xd0,0x00
0,0xd8,0x00
0,0xe0,0x00
0,0xe8,0x00
0,0xf0,0x00
0,0xf8,0x00
0,0x20,0xc0
0,0x30,0x14
0,0x28,0x00
0,0x78,0x15
0,0x08,0x78
0,0x20,0x55
2064,0x08,0x00
